String [Primitive],System.String
Vector3 [3D],Xenko.Core.Mathematics.Vector3
Integer32 [Primitive],System.Int32
Spread [Collections]&lt;Vector3 [3D]&gt;,VL.Lib.Collections.Spread`1[[Xenko.Core.Mathematics.Vector3, Xenko.Core.Mathematics, Version=3.1.0.1, Culture=neutral, PublicKeyToken=null]]
Spread [Collections]&lt;System.String&gt;,VL.Lib.Collections.Spread`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]
Float32 [Primitive],System.Single
Boolean [Primitive],System.Boolean
ConstantBee [VVVV.Schema],_VVVV_Schema_Core_.VVVV.Schema.ConstantBee_C
PassthroughBee [VVVV.Schema],_VVVV_Schema_Core_.VVVV.Schema.PassthroughBee_C
ValueRandomBee [VVVV.Schema],_VVVV_Schema_Core_.VVVV.Schema.ValueRandomBee_C
Steps [Schema.Blocks.Effects.Value],_Schema_Blocks_Effects_Value_Steps_.Schema.Blocks.Effects.Value.Steps_C
ValueLFOBee [VVVV.Schema],_VVVV_Schema_Core_.VVVV.Schema.ValueLFOBee_C
FixtureIsSelectedValueSource [Schema.Blocks.Source.Value.Fixture.IsSelected],_Schema_Blocks_Source_Value_Fixture_IsSelected_.Schema.Blocks.Source.Value.Fixture.IsSelected.FixtureIsSelectedValueSource_C
